avg_thr,grid_size,N,FRI_mean,FRI_std,GSI_mean,GSI_std,FRI_GSI_gap,n_runs
10,20,400,1.000000,0.000000,1.000000,0.000000,0.000000,30
10,30,900,0.913963,0.018275,0.913111,0.018565,0.000852,30
10,40,1600,0.763292,0.025822,0.751437,0.034241,0.011854,30
10,50,2500,0.683053,0.025805,0.649947,0.045985,0.033107,30
20,20,400,1.000000,0.000000,1.000000,0.000000,0.000000,60
20,30,900,0.906148,0.020056,0.903444,0.021381,0.002704,60
20,40,1600,0.752635,0.026774,0.706344,0.044967,0.046292,60
20,50,2500,0.688260,0.025080,0.581907,0.075609,0.106353,60
30,20,400,1.000000,0.000000,1.000000,0.000000,0.000000,30
30,30,900,0.906000,0.019659,0.897000,0.024994,0.009000,30
30,40,1600,0.762104,0.026222,0.594437,0.118324,0.167667,30
30,50,2500,0.685733,0.028873,0.396853,0.083758,0.288880,30
40,20,400,1.000000,0.000000,0.019667,0.007712,0.980333,30
40,30,900,0.892000,0.021404,0.011333,0.005431,0.880667,30
40,40,1600,0.741688,0.030836,0.005125,0.002069,0.736563,30
40,50,2500,0.676840,0.037014,0.003080,0.001375,0.673760,30
50,20,400,1.000000,0.000000,0.013083,0.001397,0.986917,30
50,30,900,0.894370,0.023081,0.005963,0.000785,0.888407,30
50,40,1600,0.745958,0.024689,0.003354,0.000378,0.742604,30
50,50,2500,0.681093,0.029622,0.002093,0.000198,0.679000,30
60,20,400,1.000000,0.000000,0.012500,0.000000,0.987500,30
60,30,900,0.893370,0.019053,0.005593,0.000199,0.887778,30
60,40,1600,0.755021,0.017768,0.003125,0.000000,0.751896,30
60,50,2500,0.689093,0.025164,0.002013,0.000072,0.687080,30
70,20,400,1.000000,0.000000,0.012500,0.000000,0.987500,30
70,30,900,0.886481,0.022575,0.005556,0.000000,0.880926,30
70,40,1600,0.747833,0.026750,0.003125,0.000000,0.744708,30
70,50,2500,0.687240,0.024152,0.002000,0.000000,0.685240,30
